No.,Image,Url,Description
1,,https://www.huongnghiepaau.com/wp-content/uploads/2023/05/banh-te-mon-an-dan-da.jpg,
2,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0SwFwk-sE_RbUhhxxp0LE7Ne2lIumZOFV4w&s,
3,,https://tutafoods.com/wp-content/uploads/2021/03/2-3.png,
4,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToBZke1QuVfNfITRGcLgIm1l7_8kUg5lw2xw&s,
5,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcvTUyX-RKqaKaEYLauqGER22P1xS3BtVydg&s,
6,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJPZ6zDPWVKk9k4U6JIrU4dQzW5kmZGOCE_g&s,
7,,https://banhbaominh.com/wp-content/uploads/2023/10/banh-te-dam-da-huong-vi-vung-que-bac-bo-banh-te6.png,
8,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxFijA_mCgo6BPhEAGsXnoCwKoIdYEv5VWdw&s,
9,,https://beptruong.edu.vn/wp-content/uploads/2015/11/cong-thuc-thuc-hien-banh-te.jpg,
10,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOtk9cODTV3rmAcX1LhuNfuMIV7pbjoYnoHA&s,
11,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHbyS-pyZiKXGf06flBNCC_2VeumfOhAkOhA&s,
12,,https://cdn3.ivivu.com/2017/01/mot-chuyen-son-tay-an-banh-te-thoi-tho-au-ivivu-4.jpg,
13,,https://daylambanh.edu.vn/wp-content/uploads/2015/11/banh-te-thom-ngon-600x400.jpg,
14,,https://pasgo.vn/Upload/anh-blog/hoc-cach-lam-banh-te-nong-hoi--thom-ngon-mem-deo-400-43570852979.webp,
15,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQR_AZawmPKmvvd8zriqO0oLjBC6mcjy73bA&s,
16,,https://sovhtt.hanoi.gov.vn/wp-content/uploads/2022/04/banh-te1.jpg,
17,,https://i.ytimg.com/vi/DlFQ9vLAsm0/maxresdefault.jpg,
18,,https://poliva.vn/wp-content/uploads/2019/05/banh-te-hung-yen-2.jpg,
19,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGuVss_6sJZI52DRW3wMrh8XD9Gbcy7ya4dg&s,
20,,https://tl.cdnchinhphu.vn/Uploads/images/Banh%20te.jpg,
21,,https://banhbaominh.com/wp-content/uploads/2023/10/banh-te-dam-da-huong-vi-vung-que-bac-bo-banh-te3-400x297.png,
22,,https://info-imgs.vgcloud.vn/2021/01/12/10/cach-lam-banh-te-tu-bot-gao-kho-2.jpg?width=0&s=wJbsDvmcIxnuM0vvfMuujw,
23,,https://may3a.com/wp-content/uploads/2020/07/cach-lam-banh-te-02.jpg,
24,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKx90eUGcb9Lh_CqVZ2LwtMgP_rTvCa8Zr9Q&s,
25,,https://i.pinimg.com/474x/a1/81/c3/a181c32a1c746fabf5dd35df1743cc92.jpg,
26,,https://kenh14cdn.com/2019/2/18/banhgio-1550467479241907630077.png,
27,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2XXyzAL2AI0iiApT22xSeQv-GS9g11xPY3w&s,
28,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMW3N8tj6FVopRb4LJ_ZWWa2Bv3jWQQKzFbw&s,
29,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGuUSU2OgxR8eWeB4DDdvhmQrIw6M6rGVQ1Q&s,
30,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSYyK1NHs8BcawR6UVVyUsfSUu-E42l09Zqg&s,
31,,https://uploads.nguoidothi.net.vn/content/478adcf5-1328-41ba-8563-49cff77682f5.jpg,
32,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzBj13SEdsai2PGSTeO5qpSUceclF0r-Ey7A&s,
33,,https://quantrisgd.vinhphuc.edu.vn/UploadImages/vinhphuc/admin/2017_8/Banh%20te%201.jpg?w=700,
34,,https://media.vietq.vn/files/13059780_967987703250619_1092955995_n.jpg,
35,,https://i.pinimg.com/474x/d7/27/02/d72702e51c81ce37ee86c3cc62ac20d9.jpg,
36,,https://daylambanh.edu.vn/wp-content/uploads/2015/11/thanh-pham-banh-te-ngon-600x337.jpg,
37,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0fM9FgC2eMJ4MtGE0l_dW6_bPVy7FkqeezA&s,
38,,https://yhocquoctehanoi.com.vn/wp-content/uploads/2020/10/B%C3%A1nh-t%E1%BA%BB-bao-nhi%C3%AAu-calo-v%C3%A0-%C4%83n-b%C3%A1nh-t%E1%BA%BB-c%C3%B3-b%C3%A9o-kh%C3%B4ng.jpg,
39,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGlu8cl8GHsvk9HFYga3NEhm_UUPQoAbXPIw&s,
40,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgRdVgYrmzL_iOL7R7kOXBZXF4PIVnYkk23g&s,
41,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-gXNUQYbKbsdFuTPsWLxMo_zreh8BDfQ2Eg&s,
42,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR_7ua6wyda9MzEj-Il0dM1aDn1dYtd2IKIA&s,
43,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTe4NEaR01bc1EcuAxsAXM6l3ApzpvYPiqQpA&s,
44,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZeh9i808k1RvwAQ4FO803ax4dWK4ydPGzsA&s,
45,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpH5fxNagW2eFZxxFXzrtibe_9mheCTE9_Ew&s,
46,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWzqy-m1ivHqftI2_fCoIX4i-nMl5s4OpA7w&s,
47,,https://dulich.baobinhthuan.com.vn/data/news/2015/1/6235/honque.jpg,
48,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT07ZZMFcZpi8CECsQuzXwNN8ZLAFnfXYQyGQ&s,
49,,https://thuonghieuvaphapluat.vn/Images/huyentt/2022/04/14/banh-te1.jpg,
50,,https://cdn.muabannhanh.com/asset/frontend/img/gallery/2021/10/28/617aa63ad9070_1635427898.jpeg,
51,,https://gcs.tripi.vn/public-tripi/tripi-feed/img/473798IRH/banh-te-banh-nep-co-hanh-1036120.jpg,
52,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG7rg_hZjKxcYFsvZyD8JN670NDK7pbwh4lg&s,
53,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFUQIU_RDOHKBh445UvSIXpBqD-TmlasA5KA&s,
54,,https://cdn3.ivivu.com/2022/12/banh-te-lang-cho-ivivu-10.jpg,
55,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdMBrYxwLEjzIWDOrCyAid815w70F25X5Njg&s,
56,,https://media.thuonghieucongluan.vn/uploads/2022/07/13/banh-6-1657684439.jpg,
