No.,Image,Url,Description
1,,https://i0.wp.com/c1.staticflickr.com/6/5830/23908983896_bafb790241_z.jpg?resize=640%2C425&ssl=1,
2,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTm5t-Ssm4NxoVZl0XqWAM1IqdDJ9ivsAMqeA&s,
3,,https://chaca.com.vn/wp-content/uploads/2023/08/cha-muc-gia-tay-quang-ninh.jpg,
4,,https://vifoodshop.com/wp-content/uploads/2020/10/cha-muc-gia-tay-ha-long.jpg,
5,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqrddZXwxfnQEvdgu8KkMP3SICn4ZKjp-si47VbN4N0gpErpFxjtuvZSM-0Z1oek6eq_s&usqp=CAU,
6,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9Kq45WjFQvdVUspifeEDmNl-rkZU7UO_pUc_0CgECJhvH1uQBZFssQYt4qabtFy2rmzA&usqp=CAU,
7,,https://kenh14cdn.com/2018/10/31/dsc9965-copy-1540994256801155936416.jpg,
8,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJPSjuZNo1cLDI4B6ed18TCLHGsY4uMLVfmlH7j2BaIDUmQXcm-o04ZiC716aVNbOTM9U&usqp=CAU,
9,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoa_mIgpl3lQA5B0qap3yW48Ky1csj3cHuQnqj5Jbuv7uatqaiqdvVTxg16PGyDmyb3Ss&usqp=CAU,
10,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzQXyx2iLpf-Vr5adnX3kKqHbkRthFdIp6isRBpG_txt75-wLx2KnP8beBfPeraNgqinM&usqp=CAU,
11,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnZNWa-P9CxfZI-1g0XOlNwbJJviZ98hYoOsNuPO2aVNmHolYNiXWk2A9ltVJLgmkt3Bo&usqp=CAU,
12,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpCdy4IaNqXmE9hupwmuPn9AwftC6ixDH6GQ&s,
13,,https://phucgiafood.com/wp-content/uploads/2017/12/cha-muc-gia-tay-ha-long-6.jpg,
14,,https://tse4.mm.bing.net/th?id=OIP.NxNds3vlsuLHnKgW6u7H8gHaFj,
15,,https://tse4.mm.bing.net/th?id=OIP.1HVQqIRqwicVORuqT7G7BAHaHa,
16,,https://haisanongba.vn/wp-content/uploads/2019/08/cha-mua-gia-tay-ha-long-haisanongba.png,
17,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUw37tnbepjNrl2YK97DTsQPXzcAU9U6C_Y-y-TMPqWZwefYXL1Q1XBZTg70TEdJPAgfM&usqp=CAU,
18,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSgPsOuZOtlVxvylfAapI0LbTaIi5FmRN2s1idAXn35D2qtxccz,
19,,https://i.pinimg.com/564x/c1/7f/4e/c17f4e7e43fbac3090f9185134eb52cc.jpg,"Nguyên liệu
• 1 kg mực mai (mực nang)
• 200 g thịt ba chỉ
• 150 g tôm biển
• 30 g hành tím
• 20 g tỏi
• 1 thìa canh nước mắm
• 1/2 thìa canh muối
• 1 thìa canh tiêu
• 1 thìa cà phê đường
• 1 thìa cà phê bột ngọt
• 1 thìa canh bột nếp"
20,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSg1mOW--sb78sPYF1CXbU-fcxGAdGCRDj3oi5Lq72Tmrib6kXR01t_dl_ddJjV4zaXc28&usqp=CAU,
21,,https://tse4.mm.bing.net/th?id=OIP.S9uvVIOAR6LktDTvk1_s-AHaDk,
22,,https://tse3.mm.bing.net/th?id=OIP.pkpdPz2pNuNImFMESsD9CQHaD4,
23,,https://vifoodshop.com/wp-content/uploads/2020/10/cha-muc-quang-ninh-300x171.jpg,
24,,https://tse1.mm.bing.net/th?id=OIP.fLarYJYq8cwFLMZKTRh1iwHaGW,
25,,https://tse1.mm.bing.net/th?id=OIP.bT73fFWlFLX9p6aYhw3-qQHaHV,
26,,https://tse1.mm.bing.net/th?id=OIP.YTDgh8Gp-gGeDB6Byh-tVAHaHa,
27,,https://tse1.mm.bing.net/th?id=OIP.BBje2aObIpjVwknHrZ_K6QHaEK,
28,,https://kenhhomestay.com/wp-content/uploads/2020/08/cha-muc-ha-long-6.jpg,
29,,https://tse2.mm.bing.net/th?id=OIP.CyoTAz0XHMZZzL-Fu1KeeAHaGW,
30,,https://tse4.mm.bing.net/th?id=OIP.vGpk43EOo8r4OzDNObDDZgHaE8,
31,,https://tse3.mm.bing.net/th?id=OIP.AFB8tPOydUTC42LjnN221QHaE7,
